Concepto,2022,2023,2024,Notas
ACTIVO,,,,"Valores en euros"
"ACTIVO NO CORRIENTE",,,,"Suma automática"
Inmovilizado intangible,0,0,0,"Software, patentes, marcas"
Inmovilizado material,0,0,0,"Maquinaria, equipos, instalaciones"
Inversiones inmobiliarias,0,0,0,"Propiedades de inversión"
Inversiones financieras a largo plazo,0,0,0,"Depósitos, fianzas > 1 año"
Activos por impuesto diferido,0,0,0,"Créditos fiscales futuros"
"ACTIVO CORRIENTE",,,,"Suma automática"
Existencias,0,0,0,"Materias primas, productos terminados"
Deudores comerciales y otras cuentas a cobrar,0,0,0,"Clientes, cuentas por cobrar"
Inversiones financieras a corto plazo,0,0,0,"Depósitos, inversiones < 1 año"
Periodificaciones a corto plazo,0,0,0,"Gastos anticipados"
Efectivo y otros activos líquidos equivalentes,0,0,0,"Caja, bancos, inversiones líquidas"
"TOTAL ACTIVO",=SUMA(B2:B7)+SUMA(B9:B13),=SUMA(C2:C7)+SUMA(C9:C13),=SUMA(D2:D7)+SUMA(D9:D13),"Debe equilibrar con Total Patrimonio + Pasivo"
,,,,"
PATRIMONIO NETO Y PASIVO,,,,"
"PATRIMONIO NETO",,,,"Recursos propios"
Capital,0,0,0,"Capital social suscrito"
Prima de emisión,0,0,0,"Sobreprecio de acciones"
Reservas,0,0,0,"Reservas legales, estatutarias, voluntarias"
Resultados de ejercicios anteriores,0,0,0,"Remanente de ejercicios previos"
Resultado del ejercicio,0,0,0,"Beneficio/pérdida del año"
"PASIVO NO CORRIENTE",,,,"Deudas > 1 año"
Provisiones a largo plazo,0,0,0,"Provisiones > 1 año"
Deudas a largo plazo,0,0,0,"Préstamos, empréstitos > 1 año"
Deudas con empresas del grupo y asociadas a largo plazo,0,0,0,"Deudas grupo > 1 año"
Pasivos por impuesto diferido,0,0,0,"Impuestos diferidos"
"PASIVO CORRIENTE",,,,"Deudas < 1 año"
Provisiones a corto plazo,0,0,0,"Provisiones < 1 año"
Deudas a corto plazo,0,0,0,"Préstamos, créditos < 1 año"
Deudas con empresas del grupo y asociadas a corto plazo,0,0,0,"Deudas grupo < 1 año"
Acreedores comerciales y otras cuentas a pagar,0,0,0,"Proveedores, cuentas por pagar"
Periodificaciones a corto plazo,0,0,0,"Ingresos anticipados"
"TOTAL PATRIMONIO NETO Y PASIVO",=SUMA(B17:B21)+SUMA(B23:B26)+SUMA(B28:B32),=SUMA(C17:C21)+SUMA(C23:C26)+SUMA(C28:C32),=SUMA(D17:D21)+SUMA(D23:D26)+SUMA(D28:D32),"Debe igualar a Total Activo"
