Concepto,2022,2023,2024,Notas
"OPERACIONES CONTINUADAS",,,,"Actividad principal de la empresa"
Importe neto de la cifra de negocios,0,0,0,"Ventas netas de descuentos e impuestos"
Variación de existencias de productos terminados,0,0,0,"Incremento/disminución stock"
Trabajos realizados por la empresa para su activo,0,0,0,"Trabajos internos capitalizados"
Aprovisionamientos,0,0,0,"Compras de materias primas y consumibles"
Otros ingresos de explotación,0,0,0,"Subvenciones, otros ingresos"
Gastos de personal,0,0,0,"Sueldos, seguridad social, indemnizaciones"
Otros gastos de explotación,0,0,0,"Servicios exteriores, tributos, otros"
Amortización del inmovilizado,0,0,0,"Depreciación de activos fijos"
Imputación de subvenciones de inmovilizado no financiero,0,0,0,"Subvenciones transferidas a resultados"
Excesos de provisiones,0,0,0,"Reversión de provisiones no utilizadas"
Deterioro y resultado por enajenaciones del inmovilizado,0,0,0,"Pérdidas/ganancias por venta activos"
"RESULTADO DE EXPLOTACIÓN",=B2+B3+B4-B5+B6-B7-B8-B9+B10+B11+B12,=C2+C3+C4-C5+C6-C7-C8-C9+C10+C11+C12,=D2+D3+D4-D5+D6-D7-D8-D9+D10+D11+D12,"EBIT - Beneficio antes de intereses e impuestos"
Ingresos financieros,0,0,0,"Intereses, dividendos recibidos"
Gastos financieros,0,0,0,"Intereses de préstamos y créditos"
Variación de valor razonable en instrumentos financieros,0,0,0,"Ganancias/pérdidas por valoración"
Diferencias de cambio,0,0,0,"Ganancias/pérdidas por tipo de cambio"
Deterioro y resultado por enajenaciones de instrumentos financieros,0,0,0,"Pérdidas/ganancias venta activos financieros"
"RESULTADO FINANCIERO",=B14-B15+B16+B17+B18,=C14-C15+C16+C17+C18,=D14-D15+D16+D17+D18,"Resultado de actividades financieras"
"RESULTADO ANTES DE IMPUESTOS",=B13+B19,=C13+C19,=D13+D19,"EBT - Beneficio antes de impuestos"
Impuesto sobre beneficios,0,0,0,"Gasto por impuesto de sociedades"
"RESULTADO DEL EJERCICIO",=B20-B21,=C20-C21,=D20-D21,"Beneficio neto del ejercicio"
,,,,"
"INFORMACIÓN ADICIONAL",,,,"
"EBITDA",=B13+B9,=C13+C9,=D13+D9,"Resultado antes de intereses, impuestos, depreciación y amortización"
Margen EBITDA (%),=B24/B2*100,=C24/C2*100,=D24/D2*100,"EBITDA como % de ventas"
Margen neto (%),=B22/B2*100,=C22/C2*100,=D22/D2*100,"Beneficio neto como % de ventas"
