Concepto,2022,2023,2024,Notas
Inmovilizado intangible,150000,200000,245000,"Software desarrollado y licencias"
Inmovilizado material,80000,120000,145000,"Equipos informáticos y mobiliario oficina"
Inversiones inmobiliarias,0,0,0,"No posee propiedades de inversión"
Inversiones financieras a largo plazo,25000,40000,55000,"Depósitos a plazo y participaciones"
Activos por impuesto diferido,15000,20000,25000,"Diferencias temporarias deducibles"
Existencias,0,0,0,"Empresa de servicios"
Deudores comerciales y otras cuentas a cobrar,225000,350000,437500,"Facturas pendientes de cobro clientes"
Inversiones financieras a corto plazo,50000,75000,100000,"Fondos de inversión líquidos"
Periodificaciones a corto plazo,8000,12000,15000,"Gastos pagados por adelantado"
Efectivo y equivalentes,180000,285000,512500,"Cuentas corrientes y caja"
Capital social,60000,60000,60000,"Capital social fundacional"
Prima de emisión,0,0,0,"No ha habido ampliaciones con prima"
Reservas,50000,206025,532425,"Reservas voluntarias y legales"
Resultados ejercicios anteriores,0,0,0,"Incorporados a reservas"
Resultado del ejercicio,206025,326400,420525,"Beneficio del ejercicio"
Provisiones a largo plazo,5000,8000,12000,"Provisiones para riesgos diversos"
Deudas a largo plazo,180000,140000,100000,"Préstamo ICO amortizado progresivamente"
Deudas con empresas del grupo a largo plazo,0,0,0,"No tiene deuda con grupo"
Pasivos por impuesto diferido,12000,18000,25000,"Diferencias temporarias imponibles"
Provisiones a corto plazo,15000,20000,28000,"Provisiones para gastos y riesgos"
Deudas a corto plazo,45000,60000,70000,"Préstamos y líneas de crédito"
Deudas con empresas del grupo a corto plazo,0,0,0,"No tiene deuda con grupo"
Acreedores comerciales y otras cuentas a pagar,159975,263575,287050,"Proveedores y acreedores diversos"
Periodificaciones a corto plazo,0,0,0,"No tiene periodificaciones de pasivo"
