Concepto,2022,2023,2024,Notas
Resultado del ejercicio,206025,326400,420525,"Beneficio neto del ejercicio"
+ Amortizaciones,120000,180000,220000,"Amortización equipos y software"
+ Provisiones,20000,28000,40000,"Dotaciones a provisiones"
+/- Otros ajustes,-5000,8000,15000,"Ajustes de valoración y otros"
- Aumento existencias,0,0,0,"No tiene existencias"
- Aumento deudores,-45000,-125000,-87500,"Variación de clientes y deudores"
+ Aumento acreedores,85000,103600,23475,"Variación de proveedores"
- Inversiones inmovilizado,-90000,-120000,-70000,"Inversiones en activos fijos"
+ Desinversiones,5000,8000,2000,"Venta de equipos obsoletos"
- Inversiones financieras,-25000,-15000,-15000,"Inversiones financieras"
+ Aumento capital,0,0,0,"No ha habido ampliaciones"
+/- Variación deuda,-20000,-40000,-40000,"Amortización neta de préstamos"
- Dividendos pagados,-50000,-70000,-80000,"Distribución de beneficios"
Efectivo inicial,75000,180000,285000,"Saldo inicial de tesorería"
Efectivo final,180000,285000,512500,"Saldo final de tesorería"
