Concepto,Año1,Año2,Año3,Notas
ACTIVIDADES DE EXPLOTACIÓN,,,,Categoría - No incluir valores
Resultado del ejercicio,,,,"Flujos de explotación"
+ Amortizaciones,,,,"Flujos de explotación"
+ Provisiones,,,,"Flujos de explotación"
+/- Otros ajustes,,,,"Flujos de explotación"
- Aumento existencias,,,,"Flujos de explotación"
- Aumento deudores,,,,"Flujos de explotación"
+ Aumento acreedores,,,,"Flujos de explotación"
ACTIVIDADES DE INVERSIÓN,,,,Categoría - No incluir valores
- Inversiones inmovilizado,,,,"Flujos de inversión"
+ Desinversiones,,,,"Flujos de inversión"
- Inversiones financieras,,,,"Flujos de inversión"
ACTIVIDADES DE FINANCIACIÓN,,,,Categoría - No incluir valores
+ Aumento capital,,,,"Flujos de financiación"
+/- Variación deuda,,,,"Flujos de financiación"
- Dividendos pagados,,,,"Flujos de financiación"
EFECTIVO,,,,Categoría - No incluir valores
Efectivo inicial,,,,"Efectivo inicial del periodo"
Efectivo final,,,,"Efectivo final del periodo"
